gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
1998668928,861e6afe-f762-11e1-a439-00145eb45e9a,52b844ca-1e81-11e5-b5e0-001ec9fd629b,Plantae,Tracheophyta,Liliopsida,Poales,Typhaceae,Typha,Typha angustifolia,,SPECIES,Typha angustifolia L.,Typha angustifolia Linnaeus,Linnaeus,US,"Cambridge, Fresh Pond",Massachusetts,present,,485ff490-e3b7-11db-9acc-b8a03c50a862,,,,,,,,,###############################################################################################################################################################################################################################################################,,6,1883,5289461,5289461,PRESERVED_SPECIMEN,NEBC,NEBC,barcode-00666086,,,,CC_BY_4_0,President and Fellows of Harvard College,L. S. Drake,,,11/13/2019 16:14,StillImage,
1998563293,861e6afe-f762-11e1-a439-00145eb45e9a,3aea929e-1e81-11e5-b5e0-001ec9fd629b,Plantae,Tracheophyta,Liliopsida,Poales,Typhaceae,Typha,Typha angustifolia,,SPECIES,Typha angustifolia L.,Typha angustifolia Linnaeus,Linnaeus,US,Middlebury,Vermont,present,,485ff490-e3b7-11db-9acc-b8a03c50a862,,,,,,,,,###############################################################################################################################################################################################################################################################,,,1883,5289461,5289461,PRESERVED_SPECIMEN,NEBC,NEBC,barcode-00652857,2791,,,CC_BY_4_0,President and Fellows of Harvard College,[no data available],,,11/13/2019 16:14,StillImage,
1228422589,90c853e6-56bd-480b-8e8f-6285c3f8d42b,c238b818-d48b-4cc6-99fd-62f9535af688,Plantae,Tracheophyta,Liliopsida,Poales,Typhaceae,Typha,Typha angustifolia,,SPECIES,Typha angustifolia L.,Typha angustifolia L.,,US,Salem Cove,New Jersey,,,7b8aff00-a9f8-11d8-944b-b8a03c50a862,39.570258,-75.527375,,,,,,,###############################################################################################################################################################################################################################################################,30,7,1883,5289461,5289461,PRESERVED_SPECIMEN,F,Botany,V0209072F,s.n.,S. G. Smith,12/31/1982 16:00,CC0_1_0,The Field Museum of Natural History,J. T. Rothrock,,,11/13/2019 12:35,StillImage,GEODETIC_DATUM_ASSUMED_WGS84
1999290696,861e6afe-f762-11e1-a439-00145eb45e9a,df162d14-1ad1-11e5-b5e0-001ec9fd629b,Plantae,Tracheophyta,Liliopsida,Poales,Typhaceae,Typha,Typha angustifolia,,SPECIES,Typha angustifolia L.,Typha angustifolia Linnaeus,Linnaeus,US,Nantucket,Massachusetts,present,,485ff490-e3b7-11db-9acc-b8a03c50a862,,,,,,,,,###############################################################################################################################################################################################################################################################,11,7,1884,5289461,5289461,PRESERVED_SPECIMEN,GH,GH,barcode-00666126,,,,CC_BY_4_0,President and Fellows of Harvard College,[no data available],,,11/13/2019 16:14,StillImage,
1999253803,861e6afe-f762-11e1-a439-00145eb45e9a,d6c07b7e-1ad1-11e5-b5e0-001ec9fd629b,Plantae,Tracheophyta,Liliopsida,Poales,Typhaceae,Typha,Typha angustifolia,,SPECIES,Typha angustifolia L.,Typha angustifolia Linnaeus,Linnaeus,US,Nantucket,Massachusetts,present,,485ff490-e3b7-11db-9acc-b8a03c50a862,,,,,,,,,###############################################################################################################################################################################################################################################################,12,7,1884,5289461,5289461,PRESERVED_SPECIMEN,NEBC,NEBC,barcode-00666125,,,,CC_BY_4_0,President and Fellows of Harvard College,[no data available],,,11/13/2019 16:14,StillImage,
56680366,84f9770e-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Liliopsida,Poales,Typhaceae,Typha,Typha angustifolia,,SPECIES,Typha angustifolia L.,Typha angustifolia L.,L.,US,,Alabama,,,79324e30-d4c7-11d8-bf69-b8a03c50a862,,,,,,,,,###############################################################################################################################################################################################################################################################,,8,1884,5289461,5289461,PRESERVED_SPECIMEN,UA,UNA,UNA00006458,,S. Galen Smith,,CC0_1_0,,Charles Mohr with C. Zimmer,,,11/13/2019 16:44,,COORDINATE_OUT_OF_RANGE
1999378139,861e6afe-f762-11e1-a439-00145eb45e9a,f2f00322-1ad2-11e5-b5e0-001ec9fd629b,Plantae,Tracheophyta,Liliopsida,Poales,Typhaceae,Typha,Typha angustifolia,,SPECIES,Typha angustifolia L.,Typha angustifolia Linnaeus,Linnaeus,US,New Haven,Connecticut,present,,485ff490-e3b7-11db-9acc-b8a03c50a862,,,,,,,,,###############################################################################################################################################################################################################################################################,6,7,1886,5289461,5289461,PRESERVED_SPECIMEN,GH,GH,barcode-00652889,,,,CC_BY_4_0,President and Fellows of Harvard College,[no data available],,,11/13/2019 16:14,StillImage,
1999267492,861e6afe-f762-11e1-a439-00145eb45e9a,da042622-1ad2-11e5-b5e0-001ec9fd629b,Plantae,Tracheophyta,Liliopsida,Poales,Typhaceae,Typha,Typha angustifolia,,SPECIES,Typha angustifolia L.,Typha angustifolia Linnaeus,Linnaeus,US,East Haven,Connecticut,present,,485ff490-e3b7-11db-9acc-b8a03c50a862,,,,,,,,,###############################################################################################################################################################################################################################################################,16,6,1886,5289461,5289461,PRESERVED_SPECIMEN,GH,GH,barcode-00652886,1,,,CC_BY_4_0,President and Fellows of Harvard College,[no data available],,,11/13/2019 16:14,StillImage,
1455184395,55a29b7c-9cb3-4721-b1e3-40561c955e21,urn:catalog:MTMG:Plant:20520,Plantae,Tracheophyta,Liliopsida,Poales,Typhaceae,Typha,Typha angustifolia,,SPECIES,Typha angustifolia L.,Typha angustifolia L.,L.,CA,,Qu??bec,,,182287da-fe0f-457f-ac06-2b8f4c7680fd,,,,,,,,,###############################################################################################################################################################################################################################################################,,,1886,5289461,5289461,PRESERVED_SPECIMEN,McGill University,MTMG,20520,,,,CC0_1_0,,Robert  M. Campbell,,,11/13/2019 9:45,StillImage,RECORDED_DATE_MISMATCH
1998647778,861e6afe-f762-11e1-a439-00145eb45e9a,4e1ceb6e-1e81-11e5-b5e0-001ec9fd629b,Plantae,Tracheophyta,Liliopsida,Poales,Typhaceae,Typha,Typha angustifolia,,SPECIES,Typha angustifolia L.,Typha angustifolia Linnaeus,Linnaeus,US,Arlington,Massachusetts,present,,485ff490-e3b7-11db-9acc-b8a03c50a862,,,,,,,,,###############################################################################################################################################################################################################################################################,8,7,1887,5289461,5289461,PRESERVED_SPECIMEN,NEBC,NEBC,barcode-00666082,,,,CC_BY_4_0,President and Fellows of Harvard College,[no data available],,,11/13/2019 16:14,StillImage,
1989549243,c8d12f8a-7e39-4e2c-92d7-825d590ad15b,fd822972-79db-4bac-8e89-5cb74dc126b1,Plantae,Tracheophyta,Liliopsida,Poales,Typhaceae,Typha,Typha angustifolia,,SPECIES,Typha angustifolia L.,Typha angustifolia,,US,Contact UM Herbarium,Massachusetts,,,174c6da2-e002-42fe-9f56-2f9d670240f4,,,,,,,,,###############################################################################################################################################################################################################################################################,27,6,1887,5289461,5289461,PRESERVED_SPECIMEN,MICH,Angiosperms,1207449,,,,CC_BY_NC_4_0,,Thomas Morong,,,12/30/2019 7:35,StillImage,
